team,logo_url
Major League Baseball,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/mlb.png&h=100&w=100
USA Baseball,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&h=100&w=100
Arizona Diamondbacks,https://www.mlbstatic.com/team-logos/team-cap-on-dark/109.svg
Atlanta Braves,https://www.mlbstatic.com/team-logos/team-cap-on-dark/144.svg
Baltimore Orioles,https://www.mlbstatic.com/team-logos/team-cap-on-dark/110.svg
Boston Red Sox,https://www.mlbstatic.com/team-logos/team-cap-on-dark/111.svg
Chicago Cubs,https://www.mlbstatic.com/team-logos/team-cap-on-dark/112.svg
Chicago White Sox,https://www.mlbstatic.com/team-logos/team-cap-on-dark/145.svg
Cincinnati Reds,https://www.mlbstatic.com/team-logos/team-cap-on-dark/113.svg
Cleveland Guardians,https://www.mlbstatic.com/team-logos/team-cap-on-dark/114.svg
Colorado Rockies,https://www.mlbstatic.com/team-logos/team-cap-on-dark/115.svg
Detroit Tigers,https://www.mlbstatic.com/team-logos/team-cap-on-dark/116.svg
Houston Astros,https://www.mlbstatic.com/team-logos/team-cap-on-dark/117.svg
Kansas City Royals,https://www.mlbstatic.com/team-logos/team-cap-on-dark/118.svg
Los Angeles Angels,https://www.mlbstatic.com/team-logos/team-cap-on-dark/108.svg
Los Angeles Dodgers,https://www.mlbstatic.com/team-logos/team-cap-on-dark/119.svg
Miami Marlins,https://www.mlbstatic.com/team-logos/team-cap-on-dark/146.svg
Milwaukee Brewers,https://www.mlbstatic.com/team-logos/team-cap-on-dark/158.svg
Minnesota Twins,https://www.mlbstatic.com/team-logos/team-cap-on-dark/142.svg
New York Mets,https://www.mlbstatic.com/team-logos/team-cap-on-dark/121.svg
New York Yankees,https://www.mlbstatic.com/team-logos/team-cap-on-dark/147.svg
Oakland Athletics,https://www.mlbstatic.com/team-logos/team-cap-on-dark/133.svg
Philadelphia Phillies,https://www.mlbstatic.com/team-logos/team-cap-on-dark/143.svg
Pittsburgh Pirates,https://www.mlbstatic.com/team-logos/team-cap-on-dark/134.svg
San Diego Padres,https://www.mlbstatic.com/team-logos/team-cap-on-dark/135.svg
San Francisco Giants,https://www.mlbstatic.com/team-logos/team-cap-on-light/137.svg
Seattle Mariners,https://www.mlbstatic.com/team-logos/team-cap-on-dark/136.svg
St Louis Cardinals,https://www.mlbstatic.com/team-logos/team-cap-on-dark/138.svg
Tampa Bay Rays,https://www.mlbstatic.com/team-logos/team-cap-on-dark/139.svg
Texas Rangers,https://www.mlbstatic.com/team-logos/team-cap-on-dark/140.svg
Toronto Blue Jays,https://www.mlbstatic.com/team-logos/team-cap-on-dark/141.svg
Washington Nationals,https://www.mlbstatic.com/team-logos/team-cap-on-dark/120.svg
Hyannis Harbor Hawks,https://images.ctfassets.net/iiozhi00a8lc/1IHPJY8Li66jwAAHcdTESn/058ffcb949ec7935649865689a4b791a/HawksLogo__1_.png
National Basketball Association,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/nba.png&h=100&w=100
Atlanta Hawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png&h=100&w=100
Charlotte Hornets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png&h=100&w=100
Chicago Bulls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/chi.png&h=100&w=100
Indiana Pacers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png&h=100&w=100
Los Angeles Clippers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png&h=100&w=100
Los Angeles Lakers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png&h=100&w=100
Miami Heat,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mia.png&h=100&w=100
New York Knicks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ny.png&h=100&w=100
Oklahoma City Thunder,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/okc.png&h=100&w=100
Orlando Magic,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png&h=100&w=100
Phoenix Suns,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png&h=100&w=100
Sacramento Kings,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png&h=100&w=100
San Antonio Spurs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sa.png&h=100&w=100
Utah Jazz,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png&h=100&w=100
Washington Wizards,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/wsh.png&h=100&w=100
Los Angeles Sparks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/wnba/500/la.png&h=100&w=100
Minnesota Lynx,https://a.espncdn.com/combiner/i?img=/i/teamlogos/wnba/500/min.png&h=100&w=100
Phoenix Mercury,https://a.espncdn.com/combiner/i?img=/i/teamlogos/wnba/500/phx.png&h=100&w=100
National Football League,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/nfl.png&h=100&w=100
Arizona Cardinals,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ari.png&h=100&w=100
Buffalo Bills,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/buf.png&h=100&w=100
Cleveland Browns,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/cle.png&h=100&w=100
Dallas Cowboys,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/dal.png&h=100&w=100
Detroit Lions,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/det.png&h=100&w=100
Green Bay Packers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/gb.png&h=100&w=100
Houston Texans,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/hou.png&h=100&w=100
Indianapolis Colts,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ind.png&h=100&w=100
Jacksonville Jaguars,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/jax.png&h=100&w=100
Kansas City Chiefs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/kc.png&h=100&w=100
New Orleans Saints,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/no.png&h=100&w=100
New York Giants,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/nyg.png&h=100&w=100
New York Jets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/nyj.png&h=100&w=100
Philadelphia Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/phi.png&h=100&w=100
San Diego Chargers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lac.png&h=100&w=100
San Francisco 49ers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/sf.png&h=100&w=100
Tampa Bay Buccaneers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/tb.png&h=100&w=100
Tennessee Titans,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ten.png&h=100&w=100
Washington Commanders,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/wsh.png&h=100&w=100
National Hockey League,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/nhl.png?w=100&h=100
Maple Leaf Sports & Entertainment,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/tor.png&h=100&w=100
Buffalo Sabres,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/buf.png&h=100&w=100
Calgary Flames,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/cgy.png&h=100&w=100
Carolina Hurricanes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/car.png&h=100&w=100
Chicago Blackhawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/chi.png&h=100&w=100
Detroit Red Wings,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/det.png&h=100&w=100
Los Angeles Kings,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/la.png&h=100&w=100
Nashville Predators,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/nsh.png&h=100&w=100
New Jersey Devils,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/nj.png&h=100&w=100
Pittsburgh Penguins,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/pit.png&h=100&w=100
Tampa Bay Lightning,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/tb.png&h=100&w=100
US Soccer Federation,https://cdn.sanity.io/images/oyf3dba6/production/bf72ee7b299178803e565d6c872cdb4baf2aef2d-640x877.png
Major League Soccer,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/130.png
Atlanta United,https://images.fotmob.com/image_resources/logo/teamlogo/773958.png
Austin FC,https://images.fotmob.com/image_resources/logo/teamlogo/1218886.png
Chicago Fire FC,https://images.fotmob.com/image_resources/logo/teamlogo/6397.png
CF Montreal,https://images.fotmob.com/image_resources/logo/teamlogo/161195.png
DC United,https://images.fotmob.com/image_resources/logo/teamlogo/6602.png
Inter Miami CF,https://images.fotmob.com/image_resources/logo/teamlogo/960720.png
Los Angeles FC,https://images.fotmob.com/image_resources/logo/teamlogo/867280.png
Nashville SC,https://images.fotmob.com/image_resources/logo/teamlogo/915807.png
New England Revolution,https://images.fotmob.com/image_resources/logo/teamlogo/6580.png
New York City FC,https://images.fotmob.com/image_resources/logo/teamlogo/546238.png
Orlando City,https://images.fotmob.com/image_resources/logo/teamlogo/267810.png
Real Salt Lake,https://images.fotmob.com/image_resources/logo/teamlogo/6606.png
San Diego FC,https://images.mlssoccer.com/image/upload/v1702414915/assets/SDFC/SanDiego-logo-480x480_rs6qt0.png
Toronto FC,https://images.fotmob.com/image_resources/logo/teamlogo/56453.png
LA Galaxy,https://images.fotmob.com/image_resources/logo/teamlogo/6637.png
National Women's Soccer League,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9134.png
Bay FC,https://images.fotmob.com/image_resources/logo/teamlogo/1607273.png
NJ/NY Gotham FC,https://images.fotmob.com/image_resources/logo/teamlogo/189397.png
Portland Thorns,https://images.fotmob.com/image_resources/logo/teamlogo/433029.png
English Football Association,https://cdn.thefa.com/thefawebsite/assets/images/favicons/www.thefa.com/favicon-96x96.png
AFC Bournemouth,https://images.fotmob.com/image_resources/logo/teamlogo/8678.png
Aston Villa,https://images.fotmob.com/image_resources/logo/teamlogo/10252.png
Blackburn Rovers,https://images.fotmob.com/image_resources/logo/teamlogo/8655.png
Bristol Rovers,https://images.fotmob.com/image_resources/logo/teamlogo/10104.png
Chelsea,https://images.fotmob.com/image_resources/logo/teamlogo/8455.png
Coventry City,https://images.fotmob.com/image_resources/logo/teamlogo/8669.png
Crystal Palace,https://images.fotmob.com/image_resources/logo/teamlogo/9826.png
Derby County,https://images.fotmob.com/image_resources/logo/teamlogo/10170.png
Everton,https://images.fotmob.com/image_resources/logo/teamlogo/8668.png
Leeds United,https://images.fotmob.com/image_resources/logo/teamlogo/8463.png
Leicester City,https://images.fotmob.com/image_resources/logo/teamlogo/8197.png
Lincoln City,https://images.fotmob.com/image_resources/logo/teamlogo/8430.png
Liverpool,https://images.fotmob.com/image_resources/logo/teamlogo/8650.png
Manchester City,https://images.fotmob.com/image_resources/logo/teamlogo/8456.png
Newcastle United,https://images.fotmob.com/image_resources/logo/teamlogo/10261.png
Norwich City,https://images.fotmob.com/image_resources/logo/teamlogo/9850.png
Nottingham Forest,https://images.fotmob.com/image_resources/logo/teamlogo/10203.png
Southampton,https://images.fotmob.com/image_resources/logo/teamlogo/8466.png
Stoke City,https://images.fotmob.com/image_resources/logo/teamlogo/10194.png
Tottenham Hotspur,https://images.fotmob.com/image_resources/logo/teamlogo/8586.png
Wolverhampton Wanderers,https://images.fotmob.com/image_resources/logo/teamlogo/8602.png
Wycombe Wanderers,https://images.fotmob.com/image_resources/logo/teamlogo/8676.png
German Football Association,https://www.dfb.de/icons/icon-96x96.png
1. FC K&ouml;ln,https://images.fotmob.com/image_resources/logo/teamlogo/8722.png
Bayern M&uuml;nchen,https://images.fotmob.com/image_resources/logo/teamlogo/9823.png
Borussia Dortmund,https://images.fotmob.com/image_resources/logo/teamlogo/9789.png
Borussia M&ouml;nchengladbach,https://images.fotmob.com/image_resources/logo/teamlogo/9788.png
Union Berlin,https://images.fotmob.com/image_resources/logo/teamlogo/8149.png
Wolfsburg,https://images.fotmob.com/image_resources/logo/teamlogo/8721.png
Barcelona,https://images.fotmob.com/image_resources/logo/teamlogo/8634.png
Atl&eacute;tico Madrid,https://images.fotmob.com/image_resources/logo/teamlogo/9906.png
Parma,https://images.fotmob.com/image_resources/logo/teamlogo/10167.png
Clermont Foot,https://images.fotmob.com/image_resources/logo/teamlogo/8311.png
Lyon,https://images.fotmob.com/image_resources/logo/teamlogo/9748.png
Marseille,https://images.fotmob.com/image_resources/logo/teamlogo/8592.png
Benfica,https://images.fotmob.com/image_resources/logo/teamlogo/9772.png
Feyenoord,https://images.fotmob.com/image_resources/logo/teamlogo/10235.png
Norwegian Football Association,https://www.fotball.no/Static/images/favicons/favicon-96x96.png
Br&oslash;ndby IF,https://images.fotmob.com/image_resources/logo/teamlogo/8595.png
Club Brugge,https://images.fotmob.com/image_resources/logo/teamlogo/8342.png
Red Bull Soccer,https://images.fotmob.com/image_resources/logo/teamlogo/6514.png
New York Red Bulls,https://images.fotmob.com/image_resources/logo/teamlogo/6514.png
Red Bull Bragantino,https://images.fotmob.com/image_resources/logo/teamlogo/109705.png
McLaren Racing,https://careers.recruiteecdn.com/image/upload/production/images/-No/QywNarzmE329.png
Red Bull Racing,https://img.redbull.com/images/t_favicon_96/favicons/www.redbull.com/single-bull/favicon-96.png
US Olympic & Paralympic Committee,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&h=100&w=100
Dartmouth College,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/159.png&h=100&w=100
University of Notre Dame,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&h=100&w=100
University of Oklahoma,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png&h=100&w=100
University of Tennessee,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png&h=100&w=100
Teamworks,https://teamworks.com/wp-content/uploads/fav-icon-150x150.png
Zelus Analytics,https://cdn.prod.website-files.com/6526575290932cab2b63fb1c/6595b0ff4c56da826b0fa3b2_favicon.png
src|ftbl,https://assets-global.website-files.com/65fbe5e06874e8d2aefa7239/660160a90d24fc1fc93fc47b_favicon.png
SkillCorner,https://26560301.fs1.hubspotusercontent-eu1.net/hubfs/26560301/SkillCorner%20Icon.svg
Tokio Marine,https://tmamerica.com/favicon.ico
PFF FC,https://fc.pff.com/images/apple-touch-icon-eac5db34262524daa68781793314cdab.png
Football Radar,https://pbs.twimg.com/profile_images/659346957492731904/T26hsqjJ_400x400.jpg